IP:PORT, LOSS, DELAY
162.159.193.154:4177,0.00%,265 ms
188.114.96.250:4177,0.00%,265 ms
188.114.97.106:4177,0.00%,265 ms
188.114.97.67:903,0.00%,265 ms
162.159.192.188:4177,0.00%,266 ms
162.159.195.135:903,0.00%,266 ms
188.114.96.90:4177,0.00%,266 ms
188.114.98.181:4177,0.00%,266 ms
188.114.98.220:903,0.00%,266 ms
188.114.99.166:903,0.00%,266 ms
162.159.193.179:4177,0.00%,267 ms
188.114.97.212:4177,0.00%,267 ms
162.159.192.176:903,0.00%,268 ms
162.159.193.78:4177,0.00%,268 ms
188.114.97.225:903,0.00%,268 ms
188.114.98.25:903,0.00%,268 ms
162.159.192.176:4177,0.00%,269 ms
162.159.195.207:903,0.00%,269 ms
188.114.96.14:4177,0.00%,269 ms
188.114.98.91:4177,0.00%,269 ms
188.114.99.145:4177,0.00%,269 ms
162.159.193.236:4177,0.00%,271 ms
162.159.195.243:4177,0.00%,272 ms
188.114.98.79:4177,0.00%,272 ms
188.114.98.91:903,0.00%,272 ms
162.159.193.58:4177,0.00%,274 ms
188.114.98.25:4177,0.00%,274 ms
162.159.195.156:4177,0.00%,276 ms
188.114.98.236:4177,0.00%,278 ms
162.159.192.233:903,0.00%,280 ms
188.114.96.50:4177,0.00%,281 ms
