IP:PORT, LOSS, DELAY
188.114.98.223:8886,0.00%,209 ms
188.114.98.241:4500,0.00%,209 ms
162.159.195.0:8886,0.00%,209 ms
188.114.96.240:8886,0.00%,209 ms
162.159.193.91:8886,0.00%,211 ms
188.114.96.221:4500,0.00%,211 ms
162.159.193.23:4500,0.00%,213 ms
162.159.192.107:4500,100.00%,1000 ms
162.159.192.61:8886,100.00%,1000 ms
162.159.192.149:4500,100.00%,1000 ms
162.159.195.29:4500,100.00%,1000 ms
162.159.195.29:8886,100.00%,1000 ms
162.159.195.19:8886,100.00%,1000 ms
162.159.192.133:8886,100.00%,1000 ms
162.159.195.21:8886,100.00%,1000 ms
162.159.192.160:4500,100.00%,1000 ms
162.159.195.213:4500,100.00%,1000 ms
162.159.195.213:8886,100.00%,1000 ms
162.159.195.162:4500,100.00%,1000 ms
162.159.195.60:4500,100.00%,1000 ms
162.159.195.244:4500,100.00%,1000 ms
162.159.192.142:4500,100.00%,1000 ms
162.159.192.32:4500,100.00%,1000 ms
162.159.195.0:4500,100.00%,1000 ms
162.159.192.207:8886,100.00%,1000 ms
162.159.192.107:8886,100.00%,1000 ms
162.159.195.180:4500,100.00%,1000 ms
162.159.195.180:8886,100.00%,1000 ms
162.159.195.146:4500,100.00%,1000 ms
162.159.192.113:8886,100.00%,1000 ms
162.159.192.113:4500,100.00%,1000 ms
162.159.192.139:4500,100.00%,1000 ms
162.159.192.51:8886,100.00%,1000 ms
162.159.192.92:8886,100.00%,1000 ms
188.114.96.127:4500,100.00%,1000 ms
188.114.99.244:8886,100.00%,1000 ms
188.114.97.130:8886,100.00%,1000 ms
188.114.96.18:8886,100.00%,1000 ms
188.114.96.64:8886,100.00%,1000 ms
188.114.97.162:4500,100.00%,1000 ms
162.159.195.48:4500,100.00%,1000 ms
188.114.96.8:8886,100.00%,1000 ms
188.114.97.25:4500,100.00%,1000 ms
188.114.99.246:4500,100.00%,1000 ms
188.114.99.144:8886,100.00%,1000 ms
188.114.99.145:8886,100.00%,1000 ms
188.114.98.155:8886,100.00%,1000 ms
188.114.98.14:8886,100.00%,1000 ms
188.114.98.209:8886,100.00%,1000 ms
